username,EnvironmentSatisfaction,Gender,JobInvolvement,MaritalStatus,PercentSalaryHike,StockOptionLevel,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,Dept,education,recruitment_type,job_level,rating,onsite,salary,satisfied,height,weight,fullname,password,skills,dob,email
HR2069,1,Female,2,Married,16,0,3,25,8,HR,UG,Recruitment Agency,4,1,0,65715,0,156,67,Leo Farmer,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Cloud Computing', 'Coding Interview', 'Apache Airflow', 'Kubernetes', 'Linux']",16-12-1981,HR2069@EY.com
HR2148,2,Female,3,Single,11,0,1,6,4,HR,UG,On-Campus,2,2,0,29805,0,163,75,Sean Walters,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Energy', 'Level Design', 'Microsoft Outlook', 'Google Sheets', 'Substance Designer']",07-10-1985,HR2148@EY.com
HR2167,2,Female,3,Single,11,0,1,6,4,HR,PG,Walk-in,2,5,0,29805,1,154,65,Sean Morales,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Cooking', 'Flute', 'Voice-Over', 'Cyber Security Social Engineering', 'Classical Guitar']",26-03-1987,HR2167@EY.com
HR2218,4,Male,2,Single,21,0,3,9,7,HR,UG,Referral,3,2,0,42419,0,174,40,John Carroll,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Holistic Medicine', 'Cosmetics', 'Microsoft 77-725', 'Tattoo Art', 'Spiritual Healing']",23-01-1974,HR2218@EY.com
HR2585,2,Female,3,Single,11,0,1,6,4,HR,UG,Referral,2,5,0,29805,0,150,66,Frank Jensen,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Oracle Fusion HCM', 'Interpersonal Feedback', 'Android Studio', 'Nature Photography', 'Database Administration']",01-11-1997,HR2585@EY.com
HR2648,4,Male,2,Single,15,0,3,0,0,HR,UG,On-Campus,1,2,1,24076,0,179,43,Frank Bush,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Diabetes', 'Leadership', 'Document Management', 'Jenkins', 'Computer Skills']",07-03-1983,HR2648@EY.com
HR2693,4,Male,2,Single,21,0,3,9,7,HR,PG,Walk-in,3,1,1,42419,1,168,40,Kobe Guerrero,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Cartoon Drawing', 'Blackjack', 'Solution Focused Therapy', 'Graphic Design', 'Cartoon Drawing']",06-12-1992,HR2693@EY.com
HR2757,4,Male,2,Single,21,0,3,9,7,HR,PG,Referral,3,2,0,42419,1,151,62,Michael Guerrero,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['EPLAN Electric P8', 'Digital Strategy', 'Typescript', 'Mobile Development', 'Python']",16-09-1990,HR2757@EY.com
HR2802,3,Female,3,Divorced,11,1,2,14,13,HR,PG,Walk-in,5,4,0,86750,0,151,80,Leo Sinclair,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Energy Healing', 'Reiki', 'Personal Networking', 'YouTube Marketing', 'Business Strategy']",22-11-1983,HR2802@EY.com
HR2931,3,Female,3,Divorced,11,1,2,14,13,HR,PG,On-Campus,5,1,0,86750,1,176,58,Leo Carroll,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['SEO', 'Color Grading', 'Digital Product', 'Photography Business', 'Business Development']",03-12-1985,HR2931@EY.com
HR2986,4,Male,2,Single,21,0,3,9,7,HR,UG,On-Campus,3,5,1,42419,1,157,60,David Foden,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Patent', 'Nail Art', 'Design Thinking', 'Healthcare IT', 'LGPD Lei Geral de Proteção de Dados']",08-01-1994,HR2986@EY.com
HR3156,1,Female,2,Married,16,0,3,25,8,HR,PG,Walk-in,4,3,0,65715,1,162,95,Leo Donnelly,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Server Administration', 'Watercolor Painting', 'Python', 'Lyric Writing', 'DJ']",04-08-1967,HR3156@EY.com
HR3205,4,Male,2,Single,21,0,3,9,7,HR,UG,Referral,3,3,0,42419,1,173,71,Frank Sinclair,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['HACCP', 'Mental Math', 'Oracle Database', 'Database Programming', 'Database Management']",31-08-1986,HR3205@EY.com
HR3327,4,Male,2,Single,15,0,3,0,0,HR,PG,Recruitment Agency,1,4,1,24076,1,165,95,Shaun Briggs,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['AWS Certified Developer - Associate', 'Marketing Automation', 'MERN Stack', 'SAT', 'Love']",14-07-1998,HR3327@EY.com
HR3427,1,Female,2,Married,16,0,3,25,8,HR,PG,Referral,4,2,0,65715,1,179,81,Gerard Carroll,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['JUnit', 'Business Communication', 'Media Training', 'Podcasting', 'Efficiency']",31-05-1990,HR3427@EY.com
HR3454,1,Female,2,Married,16,0,3,25,8,HR,UG,Recruitment Agency,4,5,1,65715,1,153,82,Shaun Sinclair,"98,50,51,97,55,49,101,49,97,97,102,97,100,98,97,100,97,55,50,48,53,98,55,57,101,98,49,98,53,55,55,51,99,50,50,51,48,51,51,54,98,97,49,51,48,100,101,52,55,51,53,97,48,100,48,49,50,53,53,50,101,49,102,101,52,54,51,98,53,102,55,56,55,52,49,99,48,97,101,54,98,102,101,49,51,54,98,100,51,51,53,98,49,50,56,55,99,102,102,102,57,99,52,56,97,57,52,101,57,100,49,102,55,53,54,49,54,54,53,55,48,54,49,57,50,48,48,102,53,99,49,54,100,102,55,52,102,54,49,51,100,101,98,51,49,57,99,50,98,100,98,54,97,52,53,56,101,56,56,48,48,50,98,100,51,99,51,98,55,98,55,53,57,50,97,51,98,51,51,51,99,99,53,99,98,56,57,97,53,100,100,57","['Classical Music', 'Cloud Computing', 'Virtual Private Cloud', 'Blockchain', 'Software Architecture']",05-10-1987,HR3454@EY.com
